Continent,Location,Date,Population,new_vaccinations,people_vaccinated,(people_vaccinated/population)*100
Asia,Afghanistan,20/02,38928341,,0,0.0000
Asia,Afghanistan,20/02,38928341,,0,0.0000
Asia,Afghanistan,20/02,38928341,,0,0.0000
Asia,Afghanistan,20/02,38928341,,0,0.0000
Asia,Afghanistan,20/02,38928341,,0,0.0000
Asia,Afghanistan,20/02,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/03,38928341,,0,0.0000
Asia,Afghanistan,20/04,38928341,,0,0.0000
Asia,Afghanistan,20/04,38928341,,0,0.0000
Asia,Afghanistan,20/04,38928341,,0,0.0000
Asia,Afghanistan,20/04,38928341,,0,0.0000
